Price,Address,City,Bedrooms,Baths,Area,Type
40000000,"River Loft, Bahria Town Rawalpindi",Rawalpindi,3,3,14.8 Marla,Penthouse
40000000,"River Loft, Bahria Town Rawalpindi",Rawalpindi,3,4,14.9 Marla,Penthouse
32900000,"Bahria Town Phase 7, Bahria Town Rawalpindi",Rawalpindi,1,1,8.4 Marla,Penthouse
42000000,"Askari 11, Askari",Lahore,3,4,18.7 Marla,Penthouse
42000000,"Askari 11, Askari",Lahore,3,3,18.7 Marla,Penthouse
32599999,"DHA Phase 5, DHA Defence",Lahore,3,3,9.4 Marla,Penthouse
156400000,"DHA Phase 5 - Block M, DHA Phase 5",Lahore,5,6,1.16 Kanal,Penthouse
85700000,"Zameen Aurum, Gulberg 3 - Block L",Lahore,3,3,10.5 Marla,Penthouse
36000000,"Top City 1, Islamabad",Islamabad,3,3,8 Marla,Penthouse
45599999,"Riverwalk, Islamabad Expressway",Islamabad,4,4,9.5 Marla,Penthouse
31300000,"Jasmine Suites, G-11",Islamabad,1,1,4.8 Marla,Penthouse
36600000,"Faisal Margalla City, B-17",Islamabad,4,4,10.2 Marla,Penthouse
18000000,"Bahria Enclave - Sector C1, Bahria Enclave",Islamabad,3,3,7.1 Marla,Penthouse
8500000,"Defence Residency, DHA Defence Phase 2",Islamabad,2,2,5 Marla,Penthouse
28100000,"Pearl Square Residency, Bahria Town",Islamabad,3,3,9.3 Marla,Penthouse
32900000,"Bahria Town, Islamabad",Islamabad,2,2,8.4 Marla,Penthouse
3800000,"Bahria Enclave - Sector N, Bahria Enclave",Islamabad,1,1,1.8 Marla,Penthouse
38400000,"B-17, Islamabad",Islamabad,3,3,10.7 Marla,Penthouse
15500000,"Smama Star Mall & Residency, Gulberg Greens",Islamabad,2,2,5.4 Marla,Penthouse
40800000,"Park View City - Downtown Block, Park View City",Islamabad,3,3,7.6 Marla,Penthouse
32500000,"Bahria Enclave, Bahria Town",Islamabad,3,3,13.3 Marla,Penthouse
13500000,"Bahria Enclave - Sector A, Bahria Enclave",Islamabad,2,2,8 Marla,Penthouse
83100000,"Riverwalk, Islamabad Expressway",Islamabad,5,5,17.3 Marla,Penthouse
51100000,"Riverwalk, Islamabad Expressway",Islamabad,4,4,10.7 Marla,Penthouse
48300000,"Jasmine Suites, G-11",Islamabad,2,2,7.4 Marla,Penthouse
58400000,"Jasmine Suites, G-11",Islamabad,2,2,8.9 Marla,Penthouse
28300000,"RJs Lifestyle Residences, Islamabad Expressway",Islamabad,2,2,10.9 Marla,Penthouse
16800000,"E-11/2, E-11",Islamabad,1,1,4 Marla,Penthouse
18500000,"Bahria Enclave - Sector C1, Bahria Enclave",Islamabad,3,3,7.1 Marla,Penthouse
15000000,"Bahria Enclave - Sector C, Bahria Enclave",Islamabad,2,2,4 Marla,Penthouse
